Entity,Year,Mammals (total endemic),Birds (total endemic),Amphibians (total endemic),Reef-forming corals (total endemics),Freshwater crabs (total endemics),Sharks & Rays (total endemic)
Grenada,2020,1,3,2,0,0,0
Guadeloupe,2020,2,0,27,0,0,0
Guam,2020,1,5,0,0,0,0
Guatemala,2020,6,1,54,0,6,0
Guernsey,2020,0,0,0,0,0,0
Guinea,2020,2,0,8,0,2,0
Guinea-Bissau,2020,0,0,0,0,0,0
Guyana,2020,0,0,26,0,2,0
Haiti,2020,7,31,21,0,0,0
Heard Island and McDonald Islands,2020,0,0,0,0,0,0
Honduras,2020,6,1,57,0,1,0
Hong Kong,2020,0,0,3,0,4,0
Hungary,2020,0,0,0,0,0,0
Iceland,2020,0,0,0,0,0,0
India,2020,54,74,167,0,60,4
Indonesia,2020,295,525,213,4,71,18
Iran,2020,9,1,4,0,3,0
Iraq,2020,0,0,0,0,0,0
Ireland,2020,0,0,0,0,0,0
Isle of Man,2020,0,0,0,0,0,0
Israel,2020,1,0,1,0,0,0
Italy,2020,4,0,13,0,0,0
Jamaica,2020,0,0,0,0,0,0
Japan,2020,46,24,46,4,21,14
Jersey,2020,0,0,0,0,0,0
Jordan,2020,0,0,0,0,0,0
Kazakhstan,2020,4,0,0,0,0,0
Kenya,2020,19,12,17,0,7,0
Kiribati,2020,0,2,0,0,0,0
Kuwait,2020,0,0,0,0,0,0
Kyrgyzstan,2020,1,0,0,0,0,0
Laos,2020,4,1,5,0,13,0
Latvia,2020,0,0,0,0,0,0
Lebanon,2020,0,0,0,0,0,0
Lesotho,2020,0,0,0,0,0,0
Liberia,2020,0,0,3,0,3,0
Libya,2020,2,0,0,0,0,0
Liechtenstein,2020,0,0,0,0,0,0
Lithuania,2020,0,0,0,0,0,0
Luxembourg,2020,0,0,0,0,0,0
Macao,2020,0,0,0,0,0,0
Madagascar,2020,213,119,312,3,17,5
Malawi,2020,3,1,4,0,1,0
Malaysia,2020,20,9,86,0,76,0
Maldives,2020,0,0,0,0,0,0
Mali,2020,1,0,2,0,0,0
Malta,2020,0,0,0,0,0,0
Marshall Islands,2020,0,0,0,0,0,0
Martinique,2020,1,2,1,0,0,0
Mauritania,2020,0,0,0,0,0,1
Mauritius,2020,2,29,0,0,0,2
Mayotte,2020,0,2,0,0,0,0
Mexico,2020,152,120,284,2,54,7
Micronesia (country),2020,3,22,0,0,0,0
Moldova,2020,0,0,0,0,0,0
Monaco,2020,0,0,0,0,0,0
Mongolia,2020,0,0,0,0,0,0
Montenegro,2020,0,0,0,0,0,0
Montserrat,2020,0,1,0,0,0,0
Morocco,2020,4,0,0,0,0,0
Mozambique,2020,3,2,5,0,1,3
Myanmar,2020,5,9,7,0,24,2
Namibia,2020,3,1,3,0,0,0
Nauru,2020,0,1,0,0,0,0
Nepal,2020,2,1,3,0,0,0
Netherlands,2020,0,0,0,0,0,0
New Caledonia,2020,6,27,0,0,0,12
New Zealand,2020,4,91,4,0,0,26
Nicaragua,2020,2,0,7,0,3,0
Niger,2020,0,0,0,0,0,0
Nigeria,2020,5,3,3,0,2,0
Niue,2020,0,0,0,0,0,0
Norfolk Island,2020,0,5,0,0,0,0
North Korea,2020,0,0,0,0,0,0
North Macedonia,2020,0,0,0,0,0,0
Northern Mariana Islands,2020,0,6,0,0,0,0
Norway,2020,0,0,0,0,0,0
Oman,2020,0,0,0,2,0,1
Pakistan,2020,3,0,1,0,1,1
Palau,2020,2,13,1,0,0,0
Palestine,2020,0,0,0,0,0,0
Panama,2020,12,9,48,1,9,2
Papua New Guinea,2020,83,114,292,0,11,9
Paraguay,2020,1,0,0,0,0,0
Peru,2020,57,134,301,0,7,1
Philippines,2020,133,259,93,0,41,9
Pitcairn,2020,0,6,0,0,0,0
Poland,2020,1,0,0,0,0,0
Portugal,2020,1,5,1,0,0,3
Puerto Rico,2020,1,14,15,0,0,0
Qatar,2020,0,0,0,0,0,0
Reunion,2020,1,17,0,0,0,0
Romania,2020,2,0,0,0,0,0
Russia,2020,21,2,0,0,0,0
Rwanda,2020,1,0,1,0,1,0
Saint Barthlemy,2020,0,0,0,0,0,0
Saint Helena,2020,0,18,0,0,0,0
Saint Kitts and Nevis,2020,0,0,0,0,0,0
Saint Lucia,2020,1,5,0,0,0,0
Saint Martin (French part),2020,0,0,0,0,0,0
Saint Pierre and Miquelon,2020,0,0,0,0,0,0
Saint Vincent and the Grenadines,2020,2,3,1,0,0,0
Samoa,2020,2,9,0,0,0,0
San Marino,2020,0,0,0,0,0,0
Sao Tome and Principe,2020,6,28,7,0,2,0
Saudi Arabia,2020,0,1,0,1,0,0
Senegal,2020,0,0,0,0,2,0
Serbia,2020,0,0,0,0,0,0
Seychelles,2020,3,17,11,0,3,2
Sierra Leone,2020,0,0,1,0,2,0
Singapore,2020,1,0,0,0,3,0
Sint Maarten (Dutch part),2020,0,0,0,0,0,0
Slovakia,2020,0,0,0,0,0,0
Slovenia,2020,0,0,0,0,0,0
Solomon Islands,2020,19,68,3,0,0,1
Somalia,2020,9,9,4,0,0,2
South Africa,2020,37,18,52,0,7,13
South Georgia and the South Sandwich Islands,2020,0,1,0,0,0,0
South Korea,2020,0,0,4,0,0,0
South Sudan,2020,1,0,1,0,0,0
Spain,2020,3,8,3,0,0,0
Sri Lanka,2020,18,31,105,1,50,0
Sudan,2020,8,1,1,0,0,0
Suriname,2020,0,0,4,0,1,0
Svalbard and Jan Mayen,2020,0,0,0,0,0,0
Sweden,2020,0,0,0,0,0,0
Switzerland,2020,0,0,0,0,0,0
Syria,2020,1,0,0,0,0,0
Taiwan,2020,19,29,13,0,34,5
Tajikistan,2020,0,0,0,0,0,0
Tanzania,2020,33,33,86,0,6,1
Thailand,2020,5,3,9,0,89,1
Timor,2020,1,0,0,0,0,0
Togo,2020,0,0,1,0,0,0
Tokelau,2020,0,0,0,0,0,0
Tonga,2020,0,3,0,0,0,0
Trinidad and Tobago,2020,0,3,5,0,0,0
Tunisia,2020,1,0,0,0,0,0
Turkey,2020,8,0,8,0,2,0
Turkmenistan,2020,0,0,0,0,0,0
Turks and Caicos Islands,2020,0,0,0,0,0,0
Tuvalu,2020,0,0,0,0,0,0
Uganda,2020,0,1,0,0,6,0
Ukraine,2020,3,0,0,0,0,0
United Arab Emirates,2020,0,0,0,0,0,0
United Kingdom,2020,0,1,0,0,0,0
United States,2020,104,77,183,9,0,13
United States Minor Outlying Islands,2020,0,0,0,1,0,0
United States Virgin Islands,2020,0,0,1,0,0,0
Uruguay,2020,3,0,1,0,0,0
Uzbekistan,2020,0,0,0,0,0,0
Vanuatu,2020,2,11,0,0,0,2
Vatican,2020,0,0,0,0,0,0
Venezuela,2020,28,52,183,0,19,0
Vietnam,2020,20,10,46,0,40,0
Wallis and Futuna,2020,0,0,0,0,0,0
Western Sahara,2020,0,0,0,0,0,0
Yemen,2020,4,10,1,0,3,5
Zambia,2020,5,2,2,0,1,0
Zimbabwe,2020,0,0,2,0,0,0
